"GE","CST","TNP","TWP","IAP","ARR","MS","LS","AS","FMI","FS","FQ","MQ","FO","MO","NF","SH","SS","ME","TT","ATD","ESP"
"M","ST",0.65,0.65,0.92,"N","Unmarried","V","Paid",16573,11,"Degree","12","Others","Housewife",8,6,"Govt","Eng",0,0.82,"Pass"
"F","G",0.35,0.34,0.32,"Y","Unmarried","V","Free",3174,5,"Um","Il","Service","Housewife",3,3,"Govt","Asm",1.75,0.47,"Fail"
"M","OBC",0.59,0.76,0.51,"N","Unmarried","V","Free",4517,7,"Um","Il","Farmer","Housewife",1,2.5,"Private","Eng",2,0.11,"Pass"
"M","SC",0.51,0.37,0.53,"N","Unmarried","V","Paid",8873,1,"Um","Um","Farmer","Housewife",10,2,"Govt","Asm",0.75,0.72,"Fail"
"F","G",0.42,0.47,0.64,"Y","Unmarried","V","Free",9887,15,"10","Um","Farmer","Housewife",9,3.5,"Govt","Eng",0.25,0.8,"Pass"
"M","G",0.56,0.53,0.58,"N","Unmarried","T","Paid",14010,1,"Degree","Degree","Business","Housewife",2,2,"Private","Eng",0.25,0.6,"Pass"
"M","MOBC",0.58,0.56,0.69,"Y","Unmarried","V","Free",8057,1,"Il","Il","Farmer","Housewife",7,2,"Govt","Asm",0.25,0.82,"Pass"
"F","G",0.59,0.57,0.63,"N","Unmarried","T","Free",5703,1,"Um","Um","Others","Housewife",1,3.5,"Private","Eng",0,0.79,"Pass"
"F","G",0.53,0.45,0.62,"N","Unmarried","T","Paid",4313,4,"Um","Um","Business","Housewife",4,3,"Govt","Eng",0.25,0.33,"Pass"
"M","OBC",0.66,0.76,0.77,"N","Unmarried","V","Paid",6046,5,"Il","Um","Others","Housewife",12,2.5,"Private","Asm",0.75,0.83,"Pass"
"M","OBC",0.48,0.59,0.6,"N","Unmarried","V","Paid",11883,5,"Um","Um","Others","Others",14,3.5,"Govt","Hin",0,0.99,"Pass"
"F","ST",0.51,0.73,0.71,"Y","Unmarried","V","Paid",12097,6,"Um","Um","Farmer","Housewife",19,4,"Private","Eng",0.25,0.84,"Pass"
"M","OBC",0.45,0.5,0.56,"Y","Unmarried","V","Free",9900,6,"Il","Il","Service","Service",10,1.5,"Govt","Asm",0,0.44,"Pass"
"M","G",0.56,0.54,0.51,"N","Unmarried","V","Free",4059,5,"Um","Um","Farmer","Housewife",12,4,"Govt","Asm",0,0.63,"Pass"
"F","G",0.52,0.55,0.73,"Y","Unmarried","T","Free",3773,3,"Il","Um","Business","Housewife",3,4.5,"Govt","Asm",0.5,0.95,"Pass"
"M","OBC",0.84,0.66,0.79,"N","Unmarried","T","Free",7777,5,"10","Um","Business","Housewife",14,0.5,"Private","Eng",1.75,0.73,"Pass"
"M","OBC",0.31,0.55,0.53,"Y","Unmarried","V","Free",7481,1,"Il","Il","Farmer","Housewife",9,2,"Govt","Asm",0.75,0.72,"Fail"
"F","OBC",0.54,0.59,0.69,"Y","Unmarried","T","Paid",8745,2,"10","10","Service","Housewife",14,1.5,"Govt","Eng",0,0.64,"Pass"
"M","G",0.51,0.5,0.62,"N","Unmarried","T","Paid",5543,3,"Um","Um","Others","Housewife",13,1,"Private","Eng",0,0.93,"Pass"
"F","G",0.59,0.52,0.73,"Y","Unmarried","V","Paid",9024,10,"Um","10","Farmer","Housewife",19,1,"Govt","Asm",0.25,0.97,"Pass"
"M","MOBC",0.34,0.41,0.54,"N","Unmarried","V","Free",6489,3,"Il","Il","Others","Service",3,2,"Private","Asm",0.75,0.12,"Fail"
"M","OBC",0.55,0.5,0.49,"Y","Unmarried","V","Free",4728,5,"Um","Um","Farmer","Housewife",18,3,"Govt","Asm",0.75,0.76,"Pass"
"M","G",0.61,0.78,0.7,"N","Unmarried","T","Paid",11006,3,"12","12","Service","Housewife",6,3.5,"Govt","Asm",0,0.78,"Pass"
"M","OBC",0.55,0.53,0.52,"Y","Unmarried","T","Paid",24419,8,"Degree","12","Service","Housewife",5,3,"Private","Eng",0,0.14,"Fail"
"F","OBC",0.53,0.5,0.69,"N","Unmarried","V","Paid",8228,3,"Um","10","Farmer","Housewife",9,3,"Govt","Asm",0.25,1,"Pass"
"M","ST",0.51,0.34,0.57,"Y","Unmarried","V","Free",4746,1,"Um","10","Farmer","Housewife",6,2.5,"Govt","Asm",2,0.75,"Fail"
"F","G",0.54,0.69,0.72,"Y","Unmarried","V","Free",4112,15,"Il","Il","Service","Housewife",4,0,"Govt","Asm",0.75,0.75,"Pass"
"F","OBC",0.64,0.67,0.53,"Y","Unmarried","V","Paid",4557,4,"Degree","Degree","Others","Housewife",12,3,"Govt","Asm",0.75,0.95,"Pass"
"M","OBC",0.44,0.57,0.6,"Y","Unmarried","V","Free",4479,4,"Um","Um","Farmer","Housewife",7,1.5,"Govt","Eng",1.75,0.68,"Pass"
"M","MOBC",0.4,0.78,0.59,"Y","Unmarried","V","Free",9257,9,"Il","Il","Service","Service",3,2,"Private","Eng",0.75,0.67,"Pass"
"F","OBC",0.56,0.54,0.69,"N","Unmarried","V","Paid",11419,10,"12","10","Service","Housewife",9,2.5,"Govt","Asm",2,0.89,"Pass"
"F","OBC",0.39,0.55,0.54,"N","Unmarried","V","Free",28121,1,"Um","10","Service","Service",6,2,"Govt","Asm",0,0.28,"Pass"
"F","SC",0.58,0.37,0.59,"Y","Unmarried","V","Free",3879,3,"Um","Um","Farmer","Housewife",2,3.5,"Private","Asm",0,0.97,"Fail"
"F","OBC",0.49,0.46,0.67,"N","Unmarried","V","Free",17917,18,"Il","Il","Farmer","Housewife",2,2.5,"Govt","Asm",1.75,0.92,"Pass"
"F","G",0.53,0.6,0.68,"N","Unmarried","V","Free",7046,2,"Il","Il","Farmer","Housewife",3,0,"Govt","Asm",0.25,0.97,"Pass"
"F","OBC",0.47,0.54,0.67,"N","Unmarried","V","Free",28205,2,"Il","Um","Business","Housewife",11,2,"Govt","Asm",0,0.81,"Pass"
"M","OBC",0.44,0.47,0.54,"Y","Unmarried","V","Paid",29894,7,"Pg","12","Service","Housewife",18,3.5,"Private","Eng",0,0.46,"Fail"
"F","OBC",0.75,0.79,0.45,"N","Unmarried","T","Free",5952,11,"Um","Il","Farmer","Housewife",1,5,"Govt","Eng",0.5,0.78,"Pass"
"F","ST",0.44,0.53,0.5,"N","Unmarried","V","Paid",5049,4,"Um","10","Business","Housewife",5,0,"Govt","Asm",0.25,0.68,"Pass"
"F","MOBC",0.49,0.79,0.51,"Y","Unmarried","V","Free",3440,5,"Um","Il","Business","Housewife",9,3.5,"Private","Asm",0.75,0.39,"Pass"
"F","SC",0.4,0.31,0.6,"Y","Unmarried","V","Free",9869,6,"Il","Il","Business","Housewife",5,0.5,"Govt","Asm",0.5,0.74,"Pass"
"F","G",0.5,0.34,0.4,"Y","Unmarried","V","Paid",4716,9,"Um","Um","Others","Housewife",4,2,"Govt","Eng",0.25,0.64,"Fail"
"M","G",0.82,0.86,1,"N","Unmarried","T","Paid",13099,2,"12","Um","Service","Housewife",17,2,"Private","Eng",0.25,0.78,"Pass"
"F","OBC",0.58,0.46,0.71,"Y","Unmarried","V","Free",11189,2,"Il","Um","Business","Housewife",4,3,"Govt","Eng",1.75,0.76,"Pass"
"F","ST",0.53,0.6,0.56,"N","Unmarried","V","Free",14379,2,"10","Um","Farmer","Housewife",5,5.5,"Govt","Asm",1,0.75,"Pass"
"F","OBC",0.4,0.42,0.46,"N","Unmarried","V","Paid",6163,2,"10","10","Service","Housewife",2,3,"Govt","Asm",0,0.67,"Pass"
"F","OBC",0.59,0.71,0.7,"N","Unmarried","T","Paid",5271,1,"Um","Um","Service","Housewife",5,5.5,"Private","Asm",0.25,0.7,"Pass"
"M","G",0.44,0.55,0.49,"N","Unmarried","T","Paid",16836,1,"Um","Um","Business","Housewife",15,0.5,"Govt","Asm",0,0.66,"Pass"
"M","MOBC",0.49,0.71,0.63,"N","Unmarried","V","Free",28444,4,"12","Um","Farmer","Housewife",12,0,"Govt","Asm",1.25,0.73,"Pass"
"F","OBC",0.58,0.41,0.34,"Y","Unmarried","V","Free",20024,1,"Um","12","Service","Service",6,0,"Govt","Asm",1,0.74,"Fail"
"F","OBC",0.35,0.5,0.77,"Y","Unmarried","T","Paid",11744,2,"Um","Um","Service","Housewife",1,2.5,"Govt","Asm",0.25,0.64,"Fail"
"M","OBC",0.3,0.43,0.52,"Y","Unmarried","V","Free",8260,6,"Um","Um","Farmer","Housewife",7,2.5,"Govt","Asm",1,0.33,"Fail"
"M","OBC",0.45,0.83,0.68,"N","Unmarried","V","Free",2881,5,"10","Il","Farmer","Housewife",8,3.5,"Govt","Asm",0.25,0.16,"Pass"
